attitude_geodesic_rmse,quaternion_error_mean,position_rmse,velocity_rmse,angular_rate_rmse,gyro_bias_rmse,accel_bias_rmse,disturbance_torque_rmse,disturbance_accel_rmse,nees_mean,nis_mean,runtime_per_step_s,runtime_per_step_s_median,pinn_time_per_step_s,filter_time_per_step_s,total_inference_latency_s,memory_usage_mb,trial,method
0.040756385570840076,0.03316072157322557,0.00964461934145843,0.0006549681940361182,0.0026688457367975977,0.0027459857425461906,0.03043954694509333,0.014981091586416131,0.03688365184018171,126.56412545153616,28.656623775755374,0.01941459999846605,0.0190755000221543,2.020839019678533e-07,0.019413454997508475,4.659503999631852,462.97265625,0,EKF
0.04242292740136647,0.033977030953480446,0.009692354191908916,0.0007007618620717517,0.0026731171282420823,0.0027195209147975632,0.031131761672782306,0.014720634432545806,0.03686753116927108,66.79015154167661,28.945589474674907,0.019145084583336334,0.01898990001063794,1.8875046710794172e-07,0.019144038332645625,4.59482030000072,463.2890625,1,EKF
0.04435639579250104,0.03579168185533574,0.009891911604231605,0.0006681485760034866,0.00361724851159796,0.0074369319674137315,0.06866187235152764,0.01753322680274901,0.03643996759901988,253.6655948221792,29.285243792218274,0.019821142502284297,0.01882724999450147,1.9625149434432386e-07,0.0198200845833829,4.757074200548232,463.30859375,2,EKF
0.04631812859976882,0.03742836021259122,0.009990327411537407,0.0006793582083794796,0.0026264664688010566,0.002661993085448445,0.030923955600426496,0.016388733204542885,0.036260378312308744,185.2398829446711,28.693613408986707,0.01981358625101469,0.019090850022621453,1.9750004867091775e-07,0.01981250125002892,4.755260700243525,463.3125,3,EKF
0.09236873028582289,0.05311937422648581,0.01076252392014351,0.1714794503909455,0.008097947973816525,0.008070773003496953,0.05111377988612951,0.014926904474206071,0.05219131003135775,217.34061924892836,33.59386904818521,0.01916260416522467,0.019048199988901615,2.0291675658275685e-07,0.019161533751078725,4.5990249996539205,463.6484375,4,EKF
0.060634490193592606,0.05121552838462346,0.011761540887214851,0.00098274541299946,0.004271258107597295,0.00456423402868419,0.04138748544330649,0.027131804727911744,0.059049321427652395,553.3608147010424,45.555503111992046,0.019182068330701442,0.018913700012490153,1.9000096168989936e-07,0.019181020832426534,4.603696399368346,463.6484375,5,EKF
0.04896004353842728,0.0423517383185864,0.009029436645687021,0.0006648663728227468,0.0030187509984246417,0.003085024010024647,0.031246761622443536,0.01674789679708463,0.03583113732406426,675.9607251043343,28.387667488734905,0.018904143750357132,0.01881285000126809,2.1708304605757198e-07,0.01890305874791617,4.5369945000857115,463.6484375,6,EKF
0.04002558053587466,0.03302317029680806,0.009299168283187494,0.0006610879253300527,0.0022928046238549597,0.0023148253432564727,0.03154398882371079,0.014622342894672152,0.035979281016779295,125.505096017292,28.59028302785754,0.019021988750318998,0.018871149979531765,1.9874908806135256e-07,0.019020876669189116,4.565277300076559,463.6484375,7,EKF
0.04481193965853024,0.038304036170530006,0.009258836506039016,0.0007077543554651165,0.0025099239041414356,0.006640141648367589,0.06930606918333691,0.0159773784432161,0.03671991897723605,602.3764226786831,29.596168331776727,0.019533313331582272,0.018874450004659593,2.6874719575668376e-07,0.019532005834237982,4.6879951995797455,453.59375,8,EKF
0.04490431370314254,0.03742132879861492,0.00955738337316545,0.0006826104831379863,0.003446330127870388,0.0034824124158373483,0.031769353418825155,0.015497862767732556,0.036707234255931066,555.209463271453,29.51827229794033,0.01974204624809014,0.018795299984049052,1.8666663284723957e-07,0.019740978331537918,4.738091099541634,453.63671875,9,EKF
0.04221256105772987,0.03446574471343532,0.011373289275653432,0.006250957933858231,0.002585741897143753,0.002601603212106567,0.030804349771754874,0.015125442920603093,0.036261712741135314,280.0722439586928,26.9298599780469,0.019421592917933595,0.01891580002848059,2.0083340738589564e-07,0.019420519998432913,4.661182300304063,453.6484375,10,EKF
0.08112230277461162,0.06781503132578667,0.010737753629441488,0.001032422915385929,0.004940282887835434,0.005207498570637456,0.04516398339406992,0.028448914702522043,0.06046925908468696,4448.007978585392,46.388291391373144,0.018802895000650702,0.018704400048591197,1.8083374015986918e-07,0.01880175124873252,4.512694800156169,453.65625,11,EKF
0.041645083169387594,0.03429133900612615,0.011087043924508287,0.0006881454034277088,0.002650962767467591,0.002655291700551156,0.03054134610671266,0.01611643197749852,0.036907101756364316,364.9807802138865,29.04717815989579,0.018901082914089783,0.01876654999796301,1.999990975794693e-07,0.018900037500134203,4.536259899381548,453.66796875,12,EKF
0.04812224981703636,0.039832671138373334,0.009538877888362246,0.0006791472340276892,0.003082882212700409,0.003146146110924009,0.031142523395144506,0.015992856172591358,0.03622160341450827,531.1713706356454,28.82536982556031,0.019088668745825998,0.018851200002245605,1.9333286521335443e-07,0.019087612913184178,4.58128049899824,453.6796875,13,EKF
0.03568629742341874,0.02765923609391115,0.00906357433207825,0.0006680060770663852,0.0024596258142988185,0.006850337534576735,0.06932212588463182,0.01450363337028923,0.03607603726716985,267.36531928132314,29.0012824042087,0.018945697086746805,0.018784200015943497,1.8666808803876241e-07,0.018944652499825073,4.546967300819233,453.69140625,14,EKF
0.04029612999829279,0.033885730318897404,0.010433081328822801,0.0006709506336427207,0.003487290881301447,0.0035415769857965887,0.03075446696764648,0.015765474555736143,0.03665125400548454,161.40449712076665,28.569362044878524,0.019012477078164617,0.018627599929459393,1.8958429185052713e-07,0.019011335409110566,4.562994498759508,453.83203125,15,EKF
0.046009854685962165,0.03566632665269593,0.01123606374833807,0.005451249422060545,0.0027091117622160474,0.0025976659343612193,0.008819237628912954,0.01517058058204538,0.06217391032072054,265.8094464149812,27.239154864432553,0.020238793747072728,0.019126450060866773,1.9041520621006688e-07,0.020237738747285523,4.857310499297455,453.83984375,16,EKF
0.08671179035050089,0.0676100387707216,0.011476691359922377,0.0010234040685232005,0.005915666018386613,0.005962951487564027,0.042813299910925674,0.0274501452083388,0.06231978049903585,336.60403227846507,46.95746985108061,0.01973316291550873,0.0189783499808982,2.2749882191419602e-07,0.019731980413295484,4.735959099722095,453.8515625,17,EKF
0.03377898389095855,0.02755647043107584,0.009456645650444555,0.0006876097890866054,0.002296250206821529,0.002343669167141524,0.03182220788168659,0.014951333095879357,0.03616119879761955,485.96477566923545,28.977831241149552,0.01903426124821029,0.01872105000074953,1.9791720357413093e-07,0.019033152498013805,4.56822269957047,453.86328125,18,EKF
0.03660087447004702,0.03093719924007227,0.010066875615913523,0.0006667025047031696,0.002649158179228062,0.0027121686662982744,0.0308993099039827,0.01577389027203284,0.036722401470031724,119.51852197525935,28.8998936209745,0.019021311668135848,0.018781249993480742,1.8291805948441227e-07,0.019020248748226245,4.565114800352603,453.91015625,19,EKF
0.041310468909164386,0.03304424564953612,0.010262285915697389,0.0006958927091090943,0.0028939854018760302,0.006756797480126103,0.06868856826205762,0.014660819284573575,0.03714606223383161,166.23200497903505,29.213337986620004,0.018955380829963057,0.018813450005836785,1.9874957312519352e-07,0.018954304164799395,4.549291399191134,453.91015625,20,EKF
0.05017112110342257,0.042330102419331404,0.008782185207507408,0.0006743635127239241,0.003401877836477971,0.0034403953452656474,0.031154229281950264,0.017043314889790655,0.037071610034273214,796.6903003161709,29.070740268153394,0.01895830291759921,0.018664900038857013,1.8166756490245462e-07,0.01895724166679429,4.549992700223811,453.91015625,21,EKF
0.054170263401572535,0.044811253783396544,0.011911412675830324,0.018448377747541465,0.003250322420864803,0.003292113092781574,0.032218278086225946,0.016481584814432855,0.035571766985940986,1090.759742102085,25.154835404427086,0.01894269458910761,0.018754799966700375,1.8791615730151534e-07,0.01894165375463975,4.546246701385826,453.91015625,22,EKF
0.0643505008828085,0.05444064666996003,0.012345370035812991,0.0010169778026738454,0.004144661851644719,0.004410099237501007,0.0439729396396528,0.02448092364610912,0.0612804797848667,2056.904104229074,47.80884167923951,0.01925508333661128,0.018817499978467822,1.933323801495135e-07,0.019254024170610742,4.621220000786707,453.91015625,23,EKF
0.03579423364863577,0.030164863482853944,0.009265986960785186,0.0006451469340857106,0.0027831954120118825,0.002850018989457346,0.030273030281413434,0.015119455733987177,0.037431191628822504,925.3038726197005,28.790813799277203,0.019204187497477203,0.018914900079835206,1.8874852685257794e-07,0.01920311958383536,4.609004999394529,453.91015625,24,EKF
0.038955624831301064,0.03173860726979608,0.009685391514294102,0.0006668680258214438,0.002786947081871584,0.0028332945403995967,0.0302750857659824,0.016330933628774,0.037735877581614244,321.29282155131625,28.990517216916924,0.01897843083376453,0.018810699984896928,1.8791712742919724e-07,0.01897737041193371,4.554823400103487,453.91015625,25,EKF
