attitude_rmse_mean,attitude_rmse_std,position_rmse_mean,position_rmse_std,runtime_per_step_ms,axis,value,seed
0.035006434007796745,0.009027380196123347,0.009557694639117344,0.0008782842151572833,256.76629335416646,depth,2.0,0
0.03515159533013597,0.009575529092947007,0.009667372478855536,0.0008844201369917565,310.99371141666865,depth,2.0,1
0.03747035708535925,0.010014468458086899,0.009807412385254705,0.0008519538357241741,230.23267154166797,depth,2.0,2
0.03520327524804727,0.009671529266890574,0.009760247301882869,0.000899463716723275,119.85298325000615,depth,4.0,0
0.0350251002219197,0.00950509819294105,0.009751430254100827,0.0009000397093043837,112.866840416663,depth,4.0,1
0.035070717038133976,0.009561349000894892,0.009744295879954968,0.0009022551618794035,51.264228312493096,depth,4.0,2
0.03506762228710635,0.009634473614590564,0.009743087082767023,0.0009023623240446758,62.390564125004566,depth,6.0,0
0.035064828927878114,0.009569348193454225,0.009744492136086486,0.0009029109961180188,97.13316462500245,depth,6.0,1
0.03513223242045808,0.00944444047705436,0.009744847313971258,0.0008998355361723021,56.96488552083149,depth,6.0,2
0.03471055732114682,0.009618652161164646,0.009660710122203505,0.0008836662193473023,43.99362241666647,hidden,64.0,0
0.035049726949825236,0.009580351352232355,0.009744684489858843,0.0009026065842684313,44.0326692083363,hidden,64.0,1
0.03506302815338403,0.009603541055639984,0.009744216186758088,0.0009015636623596827,44.53680083333211,hidden,64.0,2
0.03520327524804727,0.009671529266890574,0.009760247301882869,0.000899463716723275,45.366089208331644,hidden,128.0,0
0.0350251002219197,0.00950509819294105,0.009751430254100827,0.0009000397093043837,45.874658104171246,hidden,128.0,1
0.035070717038133976,0.009561349000894892,0.009744295879954968,0.0009022551618794035,45.65834270833534,hidden,128.0,2
0.0351071190863907,0.009579492815647577,0.009742201764335368,0.0008994985851548738,45.904233187491926,hidden,256.0,0
0.034999325074841645,0.00966182948950078,0.009732434584441103,0.0009071318398826289,45.97693897916599,hidden,256.0,1
0.035050654627866204,0.009531737749588121,0.009744353086382952,0.0009031891052767387,46.28994270830542,hidden,256.0,2
0.035075204775275204,0.009663847249414104,0.009744085901332859,0.0009015109847802159,43.63339245834784,window,2.0,0
0.035070270900205536,0.009600734403084007,0.009744538395500478,0.0009017388030155195,44.06757118748867,window,2.0,1
0.03508352672016527,0.009758857472287741,0.009741247508795499,0.0009040183221625079,43.86715195834427,window,2.0,2
0.03507462242840835,0.009689094902362938,0.00974456050475778,0.0009054270854540715,44.45018389582932,window,4.0,0
0.035062233687445085,0.009685436980359473,0.009742778559441058,0.0009073197013323272,44.240456958341,window,4.0,1
0.035043022770356425,0.009634239276882166,0.009749272900255897,0.0009008863670505947,44.38227458331728,window,4.0,2
0.03520327524804727,0.009671529266890574,0.009760247301882869,0.000899463716723275,44.29086539583749,window,8.0,0
0.0350251002219197,0.00950509819294105,0.009751430254100827,0.0009000397093043837,46.19787320832265,window,8.0,1
0.035070717038133976,0.009561349000894892,0.009744295879954968,0.0009022551618794035,45.811570354173526,window,8.0,2
0.034962221563967215,0.009523944265262513,0.00965121328268826,0.0008842709638864049,45.8569165000271,lr,0.0003,0
0.034924079636476126,0.009620886732138225,0.009710358135897887,0.0008976609273341644,47.72489279165371,lr,0.0003,1
0.03504700476094016,0.009635538324663883,0.00974457389085264,0.000906765205412527,47.27553937500753,lr,0.0003,2
0.03520327524804727,0.009671529266890574,0.009760247301882869,0.000899463716723275,47.61834366667434,lr,0.001,0
0.0350251002219197,0.00950509819294105,0.009751430254100827,0.0009000397093043837,47.66793406250789,lr,0.001,1
0.035070717038133976,0.009561349000894892,0.009744295879954968,0.0009022551618794035,47.524479291674886,lr,0.001,2
0.03509221204516688,0.009533299002044002,0.00974649739835963,0.0009014248805912584,47.51935133333442,lr,0.003,0
0.03505930980260944,0.009614012416748564,0.009746420633661183,0.0009007438480560879,47.36507452083326,lr,0.003,1
0.03506781907068303,0.009555395818052996,0.009745199796270757,0.0009015028734067752,47.11558858334418,lr,0.003,2
0.03520327524804727,0.009671529266890574,0.009760247301882869,0.000899463716723275,47.62887783333477,lambda_norm,0.0,0
0.0350251002219197,0.00950509819294105,0.009751430254100827,0.0009000397093043837,47.09827247915731,lambda_norm,0.0,1
0.035070717038133976,0.009561349000894892,0.009744295879954968,0.0009022551618794035,47.41914562501392,lambda_norm,0.0,2
0.03520327524804727,0.009671529266890574,0.009760247301882869,0.000899463716723275,47.62377918751213,lambda_norm,0.1,0
0.0350251002219197,0.00950509819294105,0.009751430254100827,0.0009000397093043837,47.52446458332618,lambda_norm,0.1,1
0.035070717038133976,0.009561349000894892,0.009744295879954968,0.0009022551618794035,47.77082120832726,lambda_norm,0.1,2
0.03520327524804727,0.009671529266890574,0.009760247301882869,0.000899463716723275,47.478013270831525,lambda_norm,1.0,0
0.0350251002219197,0.00950509819294105,0.009751430254100827,0.0009000397093043837,47.376436041677145,lambda_norm,1.0,1
0.035070717038133976,0.009561349000894892,0.009744295879954968,0.0009022551618794035,46.0887798333469,lambda_norm,1.0,2
0.034770055008815914,0.01125569260081262,0.009850834299841784,0.0008963272467389325,45.62948589581349,pinn_r_scale,0.25,0
0.034770055008815914,0.01125569260081262,0.009850834299841784,0.0008963272467389325,45.9920449166566,pinn_r_scale,0.25,1
0.034770055008815914,0.01125569260081262,0.009850834299841784,0.0008963272467389325,46.28113914583158,pinn_r_scale,0.25,2
0.03518603557672338,0.009902166667217178,0.009716879883434303,0.0008532154919081218,45.80089825000717,pinn_r_scale,1.0,0
0.03518603557672338,0.009902166667217178,0.009716879883434303,0.0008532154919081218,46.21275887500285,pinn_r_scale,1.0,1
0.03518603557672338,0.009902166667217178,0.009716879883434303,0.0008532154919081218,46.171417333339754,pinn_r_scale,1.0,2
0.037667794359551136,0.010342110159659638,0.009622868124908942,0.0008519294450223256,45.924811479170174,pinn_r_scale,4.0,0
0.037667794359551136,0.010342110159659638,0.009622868124908942,0.0008519294450223256,46.508564291672585,pinn_r_scale,4.0,1
0.037667794359551136,0.010342110159659638,0.009622868124908942,0.0008519294450223256,46.08226081250298,pinn_r_scale,4.0,2
0.04180502454387115,0.014070631381621698,0.009595537282679893,0.000861009898545556,45.75783895828181,pinn_r_scale,16.0,0
0.04180502454387115,0.014070631381621698,0.009595537282679893,0.000861009898545556,46.14865572917855,pinn_r_scale,16.0,1
0.04180502454387115,0.014070631381621698,0.009595537282679893,0.000861009898545556,46.157504750002175,pinn_r_scale,16.0,2
